Pol0,Pol45,Pol90,Pol135,Pol_Ratio_0_90,Pol_Diff_0_90,PlasticType
166.98104686639704,168.55176084384328,145.75490430689436,159.2339022672265,1.1456290109786629,21.226142559502676,PE
178.14670394014985,179.6537540925081,145.07233982897068,146.99147311893708,1.2279853220136336,33.074364111179165,PE
197.60986023846874,147.83873652080968,114.35547262957543,170.59457959914027,1.7280315116931402,83.25438760889331,PE
196.93596769177088,162.54325793342352,136.77902874126545,156.371377482377,1.4398111282417407,60.156938950505435,PE
185.59642434264575,151.37732179508436,151.11976153424243,173.3144057943131,1.2281413261798406,34.47666280840332,PE
170.22811651986322,156.03444549554115,157.96073640367402,152.7281286311945,1.0776609453430217,12.267380116189202,PE
188.0074619362571,147.61030631936185,134.84152327166075,162.53825817058825,1.3942846192673506,53.165938664596354,PE
178.04064537586805,160.38349839167515,146.12770743533272,158.63890921045285,1.218390738489195,31.91293794053533,PE
199.5835570811711,145.25294505372173,129.27322393534294,158.98893678297503,1.543889376356812,70.31033314582817,PE
186.1348362014841,157.3975606243955,144.28101948188612,147.7486794996518,1.2900853963320695,41.85381671959797,PE
167.9569478618888,155.69694566102982,129.03331081249726,146.86584563270264,1.3016557259849963,38.923637049391544,PE
189.85188837880978,154.26096196343644,139.12393439955332,157.20884739161207,1.364624205016871,50.727953979256455,PE
175.41075510521668,153.19277218371263,135.5181667349061,140.98546075539386,1.2943707794420396,39.89258837031059,PE
175.50615941750976,137.6661325374676,131.8764864305029,147.18922344759028,1.3308373931390651,43.62967298700687,PE
186.48175548814234,163.97204412907573,155.1480360960753,162.54749699395427,1.201960141942523,31.333719392067053,PE
172.43813389414237,166.2869858403402,163.63552197952708,156.70633717392064,1.0537940161654913,8.802611914615284,PE
181.27871216358415,156.52778479287994,134.3155142454192,148.65482028589219,1.3496483498723353,46.96319791816495,PE
195.14076163775763,143.66981374586382,150.2219833853045,129.45446689597873,1.2990160111069824,44.91877825245314,PE
187.79532983724246,147.92384354587318,134.91905082104023,155.5772227594389,1.3919111400089714,52.87627901620223,PE
179.29600679068412,167.91408147067588,121.69421145438484,158.22506555016204,1.473332253423495,57.601795336299276,PE
170.9863824156409,147.65782997916068,131.0857091902959,157.8040694393398,1.304386141493285,39.900673225345,PE
177.02370238265328,167.3303079956141,136.84588655260916,138.50767323835217,1.2935990028066948,40.177815830044125,PE
179.71925072501898,160.79762041309962,147.768147323712,150.58796589343595,1.2162245651717654,31.951103401306995,PE
189.39937399631555,176.0344946579753,121.68533990512299,162.42986612960752,1.5564682988434646,67.71403409119256,PE
178.1777416777514,173.95088683190667,151.3154393908911,147.65110489452687,1.1775251910511741,26.862302286860313,PE
172.37154518000085,169.89449392793338,131.35221196191426,157.03785272558957,1.3122850586633454,41.01933321808659,PE
191.3991877821522,166.89243120692024,135.14712226944306,156.89039607628632,1.416228363342871,56.25206551270915,PE
179.65279900948076,137.3748409152182,134.08159179363162,148.34733761328286,1.3398766870696832,45.57120721584914,PE
184.77027708917785,154.81635523945937,145.97054780330186,149.48009551807192,1.2658051906344792,38.799729285876,PE
187.79429861236304,164.89029152712945,138.2288801085155,138.79151520086532,1.3585749842213624,49.565418503847525,PE
189.83639175385755,168.53564987768507,162.7878267794842,137.01671602609576,1.16615840084292,27.048564974373363,PE
201.6122492883411,141.77152481130543,133.56184820848125,165.6679569187586,1.5095047874273022,68.05040107985985,PE
192.7784367034593,167.4890630338156,140.5707273623634,136.38849661796903,1.3713981589247581,52.20770934109589,PE
184.39117629269387,154.62047516991024,121.57426382842041,155.13854741968132,1.5166958078638084,62.81691246427346,PE
184.78602482037684,153.10692538684953,134.6769855662053,156.68201731460368,1.3720683162271896,50.109039254171535,PE
173.71617260520944,149.27954843521306,134.4181136700324,150.68839106045888,1.2923568696377137,39.29805893517704,PE
157.4911210661079,159.51005648852902,143.31639867899878,106.35799480191476,1.0989050975168428,14.174722387109114,PE
194.87254221916527,163.13075262462309,135.7684253884388,147.54678991712092,1.435330355063243,59.10411683072647,PE
192.0299185053461,153.6131495163774,135.22465075705753,128.77740629348878,1.420080713318639,56.80526774828857,PE
151.64476631115917,156.95772699613167,133.42693155937565,140.9316486353256,1.1365379128401563,18.217834751783528,PE
179.46620742509253,174.71321857479475,135.38758767805365,153.81830403284212,1.3255735662552472,44.078619747038886,PE
190.8855132359681,152.8130651540741,129.30232529196107,158.86877936209012,1.476272857467597,61.58318794400702,PE
190.69954733156362,164.9058603056557,143.46394019811947,168.78302630881316,1.3292507306589598,47.23560713344415,PE
188.38875630419233,163.92394006922507,145.52989463105527,144.04986575697745,1.294502114371704,42.858861673137056,PE
192.97475769726722,165.3275498540614,122.3045853379355,144.4145444663987,1.577821119004373,70.67017235933172,PE
166.7420079889262,160.58224549295772,137.85087617327193,161.43261908895457,1.209582504062865,28.891131815654262,PE
179.80313465583072,143.31901034020024,154.35004431603127,149.39490766262287,1.1649049759110164,25.453090339799445,PE
187.53665347354814,160.46702215276704,128.27370644683035,161.41013684440358,1.4620038561938833,59.2629470267178,PE
204.4221875036576,158.29418713027238,139.42833111374185,162.88139894545452,1.4661452652466702,64.99385638991575,PE
177.92663391923057,164.55299219436654,144.49329120603156,144.7272970490918,1.231383356515333,33.43334271319901,PE
164.71793847445346,144.1029429509884,130.40959318763896,164.55966753341426,1.2630814531983867,34.3083452868145,PE
